funcid,dim,milestone,error
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
23,10,1,4.764932e+02
23,10,2,4.764932e+02
23,10,3,4.764932e+02
23,10,5,4.764932e+02
23,10,10,4.764932e+02
23,10,20,4.764932e+02
23,10,30,4.764932e+02
23,10,40,4.764932e+02
23,10,50,4.764932e+02
23,10,60,4.764932e+02
23,10,70,4.764932e+02
23,10,80,4.764932e+02
23,10,90,4.764932e+02
23,10,100,4.764932e+02
