funcid,dim,milestone,error
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
9,10,1,3.629280e+03
9,10,2,3.629280e+03
9,10,3,3.629280e+03
9,10,5,3.629280e+03
9,10,10,3.629280e+03
9,10,20,3.629280e+03
9,10,30,3.629280e+03
9,10,40,3.629280e+03
9,10,50,3.629280e+03
9,10,60,3.629280e+03
9,10,70,3.629280e+03
9,10,80,3.629280e+03
9,10,90,3.629280e+03
9,10,100,3.629280e+03
