funcid,dim,milestone,error
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
12,10,1,1.531780e+09
12,10,2,1.531780e+09
12,10,3,1.531780e+09
12,10,5,1.531780e+09
12,10,10,1.531780e+09
12,10,20,1.531780e+09
12,10,30,1.531780e+09
12,10,40,1.531780e+09
12,10,50,1.531780e+09
12,10,60,1.531780e+09
12,10,70,1.531780e+09
12,10,80,1.531780e+09
12,10,90,1.531780e+09
12,10,100,1.531780e+09
