funcid,dim,milestone,error
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
18,10,1,1.843680e+08
18,10,2,1.843680e+08
18,10,3,1.843680e+08
18,10,5,1.843680e+08
18,10,10,1.843680e+08
18,10,20,1.843680e+08
18,10,30,1.843680e+08
18,10,40,1.843680e+08
18,10,50,1.843680e+08
18,10,60,1.843680e+08
18,10,70,1.843680e+08
18,10,80,1.843680e+08
18,10,90,1.843680e+08
18,10,100,1.843680e+08
