funcid,dim,milestone,error
1,10,1,1.005197e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
1,10,1,1.199729e+10
1,10,2,1.199729e+10
1,10,3,1.199729e+10
1,10,5,1.199729e+10
1,10,10,1.199729e+10
1,10,20,1.199729e+10
1,10,30,1.199729e+10
1,10,40,1.199729e+10
1,10,50,1.199729e+10
1,10,60,1.199729e+10
1,10,70,1.199729e+10
1,10,80,1.199729e+10
1,10,90,1.199729e+10
1,10,100,1.199729e+10
