funcid,dim,milestone,error
29,10,1,8.654749e+02
29,10,2,8.654749e+02
29,10,3,8.654749e+02
29,10,5,8.654749e+02
29,10,10,8.654749e+02
29,10,20,8.654749e+02
29,10,30,8.654749e+02
29,10,40,8.654749e+02
29,10,50,8.654749e+02
29,10,60,8.654749e+02
29,10,70,8.654749e+02
29,10,80,8.654749e+02
29,10,90,8.654749e+02
29,10,100,8.654749e+02
29,10,1,8.654749e+02
29,10,2,8.654749e+02
29,10,3,8.654749e+02
29,10,5,8.654749e+02
29,10,10,8.654749e+02
29,10,20,8.654749e+02
29,10,30,8.654749e+02
29,10,40,8.654749e+02
29,10,50,8.654749e+02
29,10,60,8.654749e+02
29,10,70,8.654749e+02
29,10,80,8.654749e+02
29,10,90,8.654749e+02
29,10,100,8.654749e+02
29,10,1,8.654749e+02
29,10,2,8.654749e+02
29,10,3,8.654749e+02
29,10,5,8.654749e+02
29,10,10,8.654749e+02
29,10,20,8.654749e+02
29,10,30,8.654749e+02
29,10,40,8.654749e+02
29,10,50,8.654749e+02
29,10,60,8.654749e+02
29,10,70,8.654749e+02
29,10,80,8.654749e+02
29,10,90,8.654749e+02
29,10,100,8.654749e+02
29,10,1,8.654749e+02
29,10,2,8.654749e+02
29,10,3,8.654749e+02
29,10,5,8.654749e+02
29,10,10,8.654749e+02
29,10,20,8.654749e+02
29,10,30,8.654749e+02
29,10,40,8.654749e+02
29,10,50,8.654749e+02
29,10,60,8.654749e+02
29,10,70,8.654749e+02
29,10,80,8.654749e+02
29,10,90,8.654749e+02
29,10,100,8.654749e+02
29,10,1,8.654749e+02
29,10,2,8.654749e+02
29,10,3,8.654749e+02
29,10,5,8.654749e+02
29,10,10,8.654749e+02
29,10,20,8.654749e+02
29,10,30,8.654749e+02
29,10,40,8.654749e+02
29,10,50,8.654749e+02
29,10,60,8.654749e+02
29,10,70,8.654749e+02
29,10,80,8.654749e+02
29,10,90,8.654749e+02
29,10,100,8.654749e+02
