funcid,dim,milestone,error
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
19,10,1,5.610826e+06
19,10,2,5.610820e+06
19,10,3,5.610820e+06
19,10,5,5.610820e+06
19,10,10,5.610820e+06
19,10,20,5.610820e+06
19,10,30,5.610820e+06
19,10,40,5.610820e+06
19,10,50,5.610820e+06
19,10,60,5.610820e+06
19,10,70,5.610820e+06
19,10,80,5.610820e+06
19,10,90,5.610820e+06
19,10,100,5.610820e+06
