funcid,dim,milestone,error
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
13,10,1,1.420186e+08
13,10,2,1.420186e+08
13,10,3,1.420186e+08
13,10,5,1.420186e+08
13,10,10,1.420186e+08
13,10,20,1.420186e+08
13,10,30,1.420186e+08
13,10,40,1.420186e+08
13,10,50,1.420186e+08
13,10,60,1.420186e+08
13,10,70,1.420186e+08
13,10,80,1.420186e+08
13,10,90,1.420186e+08
13,10,100,1.420186e+08
