funcid,dim,milestone,error
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
17,10,1,4.115801e+02
17,10,2,4.115801e+02
17,10,3,4.115801e+02
17,10,5,4.115801e+02
17,10,10,4.115801e+02
17,10,20,4.115801e+02
17,10,30,4.115801e+02
17,10,40,4.115801e+02
17,10,50,4.115801e+02
17,10,60,4.115801e+02
17,10,70,4.115801e+02
17,10,80,4.115801e+02
17,10,90,4.115801e+02
17,10,100,4.115801e+02
