funcid,dim,milestone,error
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
11,10,1,2.796514e+03
11,10,2,2.796514e+03
11,10,3,2.796514e+03
11,10,5,2.796514e+03
11,10,10,2.796514e+03
11,10,20,2.796514e+03
11,10,30,2.796514e+03
11,10,40,2.796514e+03
11,10,50,2.796514e+03
11,10,60,2.796514e+03
11,10,70,2.796514e+03
11,10,80,2.796514e+03
11,10,90,2.796514e+03
11,10,100,2.796514e+03
