funcid,dim,milestone,error
30,10,1,4.693710e+07
30,10,2,4.693710e+07
30,10,3,4.693710e+07
30,10,5,4.693710e+07
30,10,10,4.693710e+07
30,10,20,4.693710e+07
30,10,30,4.693710e+07
30,10,40,4.693710e+07
30,10,50,4.693710e+07
30,10,60,4.693710e+07
30,10,70,4.693710e+07
30,10,80,4.693710e+07
30,10,90,4.693710e+07
30,10,100,4.693710e+07
30,10,1,4.693710e+07
30,10,2,4.693710e+07
30,10,3,4.693710e+07
30,10,5,4.693710e+07
30,10,10,4.693710e+07
30,10,20,4.693710e+07
30,10,30,4.693710e+07
30,10,40,4.693710e+07
30,10,50,4.693710e+07
30,10,60,4.693710e+07
30,10,70,4.693710e+07
30,10,80,4.693710e+07
30,10,90,4.693710e+07
30,10,100,4.693710e+07
30,10,1,4.693710e+07
30,10,2,4.693710e+07
30,10,3,4.693710e+07
30,10,5,4.693710e+07
30,10,10,4.693710e+07
30,10,20,4.693710e+07
30,10,30,4.693710e+07
30,10,40,4.693710e+07
30,10,50,4.693710e+07
30,10,60,4.693710e+07
30,10,70,4.693710e+07
30,10,80,4.693710e+07
30,10,90,4.693710e+07
30,10,100,4.693710e+07
30,10,1,4.693710e+07
30,10,2,4.693710e+07
30,10,3,4.693710e+07
30,10,5,4.693710e+07
30,10,10,4.693710e+07
30,10,20,4.693710e+07
30,10,30,4.693710e+07
30,10,40,4.693710e+07
30,10,50,4.693710e+07
30,10,60,4.693710e+07
30,10,70,4.693710e+07
30,10,80,4.693710e+07
30,10,90,4.693710e+07
30,10,100,4.693710e+07
30,10,1,4.693710e+07
30,10,2,4.693710e+07
30,10,3,4.693710e+07
30,10,5,4.693710e+07
30,10,10,4.693710e+07
30,10,20,4.693710e+07
30,10,30,4.693710e+07
30,10,40,4.693710e+07
30,10,50,4.693710e+07
30,10,60,4.693710e+07
30,10,70,4.693710e+07
30,10,80,4.693710e+07
30,10,90,4.693710e+07
30,10,100,4.693710e+07
