funcid,dim,milestone,error
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
26,10,1,2.287984e+03
26,10,2,2.287984e+03
26,10,3,2.287984e+03
26,10,5,2.287984e+03
26,10,10,2.287984e+03
26,10,20,2.287984e+03
26,10,30,2.287984e+03
26,10,40,2.287984e+03
26,10,50,2.287984e+03
26,10,60,2.287984e+03
26,10,70,2.287984e+03
26,10,80,2.287984e+03
26,10,90,2.287984e+03
26,10,100,2.287984e+03
