funcid,dim,milestone,error
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
16,10,1,1.102015e+03
16,10,2,1.102015e+03
16,10,3,1.102015e+03
16,10,5,1.102015e+03
16,10,10,1.102015e+03
16,10,20,1.102015e+03
16,10,30,1.102015e+03
16,10,40,1.102015e+03
16,10,50,1.102015e+03
16,10,60,1.102015e+03
16,10,70,1.102015e+03
16,10,80,1.102015e+03
16,10,90,1.102015e+03
16,10,100,1.102015e+03
