funcid,dim,milestone,error
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
20,10,100,5.272666e+02
20,10,1,5.272666e+02
20,10,2,5.272666e+02
20,10,3,5.272666e+02
20,10,5,5.272666e+02
20,10,10,5.272666e+02
20,10,20,5.272666e+02
20,10,30,5.272666e+02
20,10,40,5.272666e+02
20,10,50,5.272666e+02
20,10,60,5.272666e+02
20,10,70,5.272666e+02
20,10,80,5.272666e+02
20,10,90,5.272666e+02
