funcid,dim,milestone,error
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
27,10,1,5.806222e+02
27,10,2,5.806222e+02
27,10,3,5.806222e+02
27,10,5,5.806222e+02
27,10,10,5.806222e+02
27,10,20,5.806222e+02
27,10,30,5.806222e+02
27,10,40,5.806222e+02
27,10,50,5.806222e+02
27,10,60,5.806222e+02
27,10,70,5.806222e+02
27,10,80,5.806222e+02
27,10,90,5.806222e+02
27,10,100,5.806222e+02
