funcid,dim,milestone,error
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
24,10,1,4.672092e+02
24,10,2,4.672092e+02
24,10,3,4.672092e+02
24,10,5,4.672092e+02
24,10,10,4.672092e+02
24,10,20,4.672092e+02
24,10,30,4.672092e+02
24,10,40,4.672092e+02
24,10,50,4.672092e+02
24,10,60,4.672092e+02
24,10,70,4.672092e+02
24,10,80,4.672092e+02
24,10,90,4.672092e+02
24,10,100,4.672092e+02
