funcid,dim,milestone,error
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
14,10,1,1.442225e+06
14,10,2,1.442225e+06
14,10,3,1.442225e+06
14,10,5,1.442225e+06
14,10,10,1.442225e+06
14,10,20,1.442225e+06
14,10,30,1.442225e+06
14,10,40,1.442225e+06
14,10,50,1.442225e+06
14,10,60,1.442225e+06
14,10,70,1.442225e+06
14,10,80,1.442225e+06
14,10,90,1.442225e+06
14,10,100,1.442225e+06
