funcid,dim,milestone,error
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
3,10,1,2.892309e+04
3,10,2,2.892309e+04
3,10,3,2.892309e+04
3,10,5,2.892309e+04
3,10,10,2.892309e+04
3,10,20,2.892309e+04
3,10,30,2.892309e+04
3,10,40,2.892309e+04
3,10,50,2.892309e+04
3,10,60,2.892309e+04
3,10,70,2.892309e+04
3,10,80,2.892309e+04
3,10,90,2.892309e+04
3,10,100,2.892309e+04
